tool,file,has_addUpdateNotice,default_verbose_token,response_shape,has_required_field_in_schema,array_returns,default_response_bytes_psm
code_localize,tools.go,yes,yes,jsonResult/map,yes,no,0
code_localize_agent,tools.go,yes,yes,jsonResult/map,yes,no,?
degree_filter,degree_filter.go,yes,no,jsonResult/map,yes,no,?
delete_project,tools.go,yes,yes,jsonResult/map,yes,no,?
detect_changes,detect_changes.go,yes,yes,jsonResult/map,no,yes,259
detect_cycles,cycles.go,no,no,jsonResult/map,no,no,9983
diff_graph,tools.go,yes,yes,jsonResult/map,yes,no,?
diff_services,diff_services.go,no,no,jsonResult/map,yes,no,0
explain_service,explain_service.go,no,no,jsonResult/map,yes,yes,0
explain_symbol,explain.go,no,no,jsonResult/map,yes,yes,0
find_rationale,tools.go,yes,yes,jsonResult/map,yes,no,16517
find_similar_functions,tools.go,yes,yes,jsonResult/map,yes,no,0
generate_report,tools.go,yes,yes,jsonResult/map,yes,no,?
get_affected_tests,affected_tests.go,no,yes,jsonResult/map,no,yes,82
get_architecture,tools.go,yes,yes,jsonResult/map,yes,no,3507
get_change_coupling,change_coupling.go,no,no,jsonResult/map,no,no,1496
get_code_snippet,tools.go,yes,yes,jsonResult/map,yes,no,0
get_graph_schema,tools.go,yes,yes,jsonResult/map,yes,no,8021
get_relevant_context,relevant_context.go,no,no,jsonResult/map,yes,yes,0
get_review_context,review_context.go,yes,yes,unknown,no,no,40
index_health,health.go,yes,no,jsonResult/map,no,no,1178
index_repository,tools.go,yes,yes,jsonResult/map,yes,no,?
index_status,tools.go,yes,yes,jsonResult/map,yes,no,2765
ingest_traces,traces.go,no,no,jsonResult/map,yes,no,?
list_projects,tools.go,yes,yes,jsonResult/map,yes,no,76306
manage_adr,tools.go,yes,yes,jsonResult/map,yes,no,?
query_graph,tools.go,yes,yes,jsonResult/map,yes,no,0
query_security_surfaces,security.go,no,no,jsonResult/map,no,yes,?
query_stig_evidence,stig_evidence.go,no,no,jsonResult/map,yes,no,?
rank_by_query,tools.go,yes,yes,jsonResult/map,yes,no,0
search_code,tools.go,yes,yes,jsonResult/map,yes,no,0
search_code_semantic,tools.go,yes,yes,jsonResult/map,yes,no,?
search_graph,tools.go,yes,yes,jsonResult/map,yes,no,4240
service_map,service_map.go,no,no,jsonResult/map,no,no,46570
trace_call_path,tools.go,yes,yes,jsonResult/map,yes,no,0
trace_data_flow,dataflow.go,yes,no,jsonResult/map,yes,yes,?
visualize,visualize.go,no,no,jsonResult/map,no,no,815
